"prix","type","classe","tarif","dest","duree","jour"
49.55,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,165,2
85.1,"AVE","Turista","Promo",0,165,5
58.15,"AVE","Turista","Promo",0,165,6
58.45,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,190,5
49.55,"AVE","Turista","Promo",0,190,6
100.4,"AVE","Turista","Promo",0,150,6
78.8,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,190,7
127.1,"AVE","Turista","Flexible",0,150,4
75.4,"AVE","Turista","Promo",0,190,6
107.7,"AVE","Turista","Flexible",0,190,3
85.1,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,165,4
85.1,"AVE","Turista","Promo",0,190,5
107.7,"AVE","Turista","Flexible",0,165,1
68.65,"AVE","Turista","Promo",0,150,3
85.1,"AVE-TGV","Turista","Promo",0,175,5
58.15,"AVE-TGV","Turista","Promo",0,175,4
107.7,"AVE","Turista","Flexible",0,180,4
107.7,"AVE","Turista","Flexible",0,190,4
85.1,"AVE","Turista","Promo",0,165,2
100.4,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,190,4
58.15,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,190,1
49.55,"AVE","Turista","Promo",0,190,5
85.1,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,165,1
107.7,"AVE","Turista","Flexible",0,180,4
85.1,"AVE","Turista","Promo",0,190,5
107.7,"AVE","Turista","Flexible",0,165,6
88.95,"AVE","Turista","Promo",0,150,2
78.8,"AVE","Turista","Promo",0,150,4
75.4,"AVE","Turista","Promo",0,190,2
66.75,"AVE","Turista","Promo",0,167,4
66.75,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,190,1
107.7,"AVE","Turista","Flexible",0,156,5
66.75,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,165,2
85.1,"AVE","Turista","Promo",0,165,3
107.7,"AVE","Turista","Flexible",0,165,5
85.1,"AVE","Turista","Promo",0,190,1
127.1,"AVE","Turista","Flexible",0,150,2
107.7,"AVE-TGV","Turista","Flexible",0,175,6
75.4,"AVE","Turista","Promo",0,156,4
85.1,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,165,2
66.75,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,190,7
66.75,"AVE","Turista","Promo",0,165,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
88.95,"AVE","Turista","Promo",0,150,1
66.75,"AVE-TGV","Turista","Promo",0,175,3
66.75,"AVE","Turista","Promo",0,165,3
49.55,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,165,1
75.4,"AVE","Turista","Promo",0,165,4
58.15,"AVE","Turista","Promo",0,182,6
66.75,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,165,5
127.1,"AVE","Turista","Flexible",0,150,3
107.7,"AVE","Turista","Flexible",0,190,6
85.1,"AVE-TGV","Turista","Promo",0,175,6
107.7,"AVE","Turista","Flexible",0,190,2
107.7,"AVE","Turista","Flexible",0,165,6
100.4,"AVE","Turista","Promo",0,150,2
68.65,"AVE","Turista","Promo",0,150,5
75.4,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,182,6
85.1,"AVE","Turista","Promo",0,165,4
66.75,"AVE-TGV","Turista","Promo",0,175,1
78.8,"AVE","Turista","Promo",0,150,1
78.8,"AVE","Turista","Promo",0,150,1
75.4,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,150,2
100.4,"AVE","Turista","Promo",0,150,5
100.4,"AVE","Turista","Promo",0,150,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
78.8,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
127.1,"AVE","Turista","Flexible",0,150,1
66.75,"AVE","Turista","Promo",0,190,7
88.95,"AVE","Turista","Promo",0,150,2
107.7,"AVE","Turista","Flexible",0,165,3
107.7,"AVE","Turista","Flexible",0,190,3
85.1,"AVE","Turista","Promo",0,190,7
68.65,"AVE","Turista","Promo",0,150,3
78.8,"AVE","Turista","Promo",0,150,1
85.1,"AVE","Turista","Promo",0,150,2
66.75,"AVE","Turista","Promo",0,190,1
58.15,"AVE","Turista","Promo",0,182,6
66.75,"AVE","Turista","Promo",0,182,1
66.75,"AVE","Turista","Promo",0,165,1
40.95,"AVE","Turista","Promo",0,190,4
85.1,"AVE","Turista","Promo",0,165,2
58.15,"AVE","Turista","Promo",0,165,6
66.75,"AVE","Turista","Promo",0,165,3
49.55,"AVE","Turista","Promo",0,180,2
107.7,"AVE","Turista","Flexible",0,165,2
100.4,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,190,3
75.4,"AVE","Turista","Promo",0,150,6
127.1,"AVE","Turista","Flexible",0,150,4
88.95,"AVE","Turista","Promo",0,150,6
127.1,"AVE","Turista","Flexible",0,150,2
107.7,"AVE","Turista","Flexible",0,165,2
66.75,"AVE","Turista","Promo",0,167,4
68.65,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,190,3
68.65,"AVE","Turista","Promo",0,150,2
66.75,"AVE","Turista","Promo",0,165,1
49.55,"AVE","Turista","Promo",0,190,4
100.4,"AVE","Turista","Promo",0,150,4
100.4,"AVE","Turista","Promo",0,150,3
75.4,"AVE","Turista","Promo",0,190,4
58.15,"AVE","Turista","Promo",0,190,3
100.4,"AVE","Turista","Promo",0,150,4
66.75,"AVE","Turista","Promo",0,167,5
85.1,"AVE","Turista","Promo",0,150,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
